fips_code,agr
0,-0.68137
1001,-0.72685
1003,0.18771
1005,-0.24126
1009,-0.02345
1013,-0.5105
1015,-0.46236
1017,-0.31556
1019,0.28718
1021,0.04762
1025,-0.14918
1027,-0.16165
1031,-0.22961
1033,-0.12151
1039,-0.66808
1043,0.91393
1045,-0.50265
1047,-0.60011
1049,0.33422
1051,-0.37889
1053,-0.76198
1055,-0.98271
1059,-0.12928
1065,0.05509
1067,-0.48262
1069,-0.08132
1071,0.03409
1073,0.08589
1075,0.06959
1077,0.50381
1079,-0.13976
1081,0.16877
1083,0.1983
1087,-0.22704
1089,-0.06935
1091,-0.41302
1093,0.70345
1095,-0.30458
1097,-0.4606
1099,-0.11885
1101,-0.59083
1103,0.20353
1107,-0.64173
1109,0.01105
1111,-0.25299
1113,-0.56702
1115,-0.07925
1117,0.31416
1119,-0.07247
1121,-0.37595
1123,-0.07882
1125,-0.08125
1127,-0.12206
1129,-0.20686
1133,0.45217
2020,-0.07187
2090,-0.28287
2110,0.12631
2122,0.69218
2150,-0.11822
2170,-0.10116
4001,0.35092
4003,0.01974
4005,0.74433
4007,-0.13541
4009,0.14672
4012,0.14107
4013,0.05287
4015,0.03812
4017,0.4019
4019,-0.30644
4021,-0.23777
4023,0.41851
4025,0.26889
4027,-0.36448
5001,0.31117
5003,-0.24306
5005,0.93093
5007,0.89073
5009,1.06919
5015,0.66997
5019,0.54398
5023,0.49872
5027,-0.26503
5029,0.29074
5031,0.4806
5033,0.67884
5035,-0.34212
5037,0.12087
5041,-0.31831
5043,-0.00007
5045,0.39493
5051,0.53761
5053,0.16614
5055,0.43886
5057,-0.23855
5059,-0.0311
5061,0.34018
5063,0.40222
5069,-0.56179
5071,0.50526
5085,0.42402
5091,-0.32649
5093,-0.55247
5103,-0.05546
5107,-0.57061
5111,0.0355
5113,0.156
5115,0.52599
5119,-0.34214
5123,-0.24198
5125,-0.08322
5131,0.43618
5133,0.47917
5139,-0.29057
5143,0.84295
5145,0.7893
6001,-0.53121
6005,0.20154
6007,0.05668
6009,0.63823
6011,0.1899
6013,-0.23598
6015,-0.03065
6017,0.43817
6019,-0.33484
6021,-0.23435
6023,-0.06892
6025,-0.13025
6029,-0.52767
6031,-0.14262
6033,-0.00842
6035,0.30061
6037,-0.15711
6039,-0.53558
6041,0.57
6045,0.22271
6047,-0.37819
6051,0.64914
6053,-0.26727
6055,0.4398
6057,0.48505
6059,0.46601
6061,0.38327
6065,-0.30174
6067,-0.01893
6069,-0.61491
6071,-0.43833
6073,0.10831
6075,0.24457
6077,-0.37373
6079,0.89206
6081,0.40582
6083,0.37951
6085,0.25566
6087,0.20677
6089,0.52359
6093,0.3007
6095,-0.49842
6097,0.56307
6099,-0.25568
6101,-0.34501
6103,0.35092
6107,-0.25907
6109,0.62281
6111,0.09531
6113,-0.14866
6115,-0.23602
8001,-0.39971
8005,0.37514
8013,0.63863
8014,0.67272
8031,0.07957
8035,0.63096
8037,0.8979
8041,0.37546
8045,0.68782
8051,0.746
8059,-0.20426
8067,0.27057
8069,0.83706
8075,-0.04821
8077,0.25926
8087,0.13088
8097,0.31326
8101,-0.08691
8107,-0.74029
8117,0.78232
8123,0.37299
9001,-0.44424
9003,-0.81878
9005,-0.20299
9007,-0.29208
9009,-0.82431
9011,-0.4443
9013,0.1131
9015,-0.22394
10001,-0.66207
10003,-0.57464
10005,-0.07849
11001,-0.27509
12001,0.0534
12005,0.53793
12007,0.24267
12009,-0.12042
12011,-0.67877
12015,-0.20773
12017,-0.06424
12019,0.05266
12021,-0.25725
12023,-0.11889
12031,-0.26112
12033,-0.41805
12035,-0.30495
12039,-0.33479
12051,-0.2626
12053,0.12695
12055,-0.08025
12057,-0.32673
12061,-0.13769
12063,0.25025
12069,0.02863
12071,-0.02734
12073,-0.32599
12075,-0.30955
12081,-0.02448
12083,-0.52472
12085,-0.16819
12086,-0.72311
12087,-0.1312
12089,-0.1867
12091,0.06511
12093,0.32981
12095,-0.19234
12097,-0.40861
12099,-0.11778
12101,0.2105
12103,-0.02324
12105,0.03165
12107,-0.18003
12109,0.36346
12111,-0.68508
12113,-0.14325
12115,-0.68002
12117,-0.07016
12119,0.46633
12127,-0.23481
12131,0.61894
13009,0.25357
13013,0.01486
13015,0.01158
13017,-0.40538
13021,-0.77986
13023,-0.04102
13029,-0.27868
13031,-0.47884
13033,-0.55122
13035,-0.2635
13039,0.045
13045,-0.1032
13047,0.48817
13051,-0.55682
13055,0.02053
13057,0.41335
13059,0.23159
13063,-0.71387
13067,-0.1534
13069,-0.02305
13071,0.03136
13073,-0.08856
13077,-0.26272
13081,-0.29732
13087,-0.22562
13089,-0.63136
13095,-0.32479
13097,-0.16964
13099,-0.54284
13103,0.21341
13105,-0.03219
13107,-0.45595
13113,0.27033
13115,-0.12706
13117,0.45549
13121,-0.50068
13123,0.23651
13127,-0.40489
13129,0.09257
13131,0.16722
13135,-0.14296
13137,0.46874
13139,0.64552
13143,0.25395
13147,-0.02576
13151,-0.08814
13153,-0.79449
13157,-0.20888
13163,-0.04026
13171,-0.11994
13175,-0.3237
13177,0.0671
13179,-0.78348
13185,-0.46151
13187,0.76032
13189,-0.36679
13199,-0.27982
13205,-0.48995
13207,-0.24814
13211,-0.1866
13213,0.57264
13215,-0.62457
13217,-0.35111
13219,0.52524
13223,0.04088
13225,-0.45759
13231,0.1222
13233,-0.13494
13245,-0.47528
13247,-0.58627
13255,-0.37455
13257,0.40388
13261,-0.44179
13267,-0.32167
13275,-0.27314
13277,-0.47489
13279,-0.30201
13285,0.07
13293,-0.41835
13295,0.32379
13297,-0.38843
13299,-0.22355
13303,-0.48254
13305,0.49906
13311,0.59664
13313,0.4116
13319,-0.0738
13321,-0.30731
15001,0.76892
15003,0.33029
15007,0.29664
15009,0.94333
16001,0.46424
16005,0.46519
16011,0.1046
16013,0.33664
16017,0.55003
16019,0.28354
16027,0.44093
16055,0.28244
16057,0.16045
16065,0.99432
16069,0.6948
16083,0.55236
17001,0.30372
17005,0.87704
17007,-0.20665
17011,0.23015
17015,-0.30083
17019,-0.1779
17021,-0.35558
17027,0.2537
17029,-0.04721
17031,-0.62135
17033,0.20907
17037,-0.24062
17041,0.36795
17043,0.20723
17049,-0.02665
17055,0.24773
17063,-0.34689
17073,0.11702
17075,-0.07898
17077,-0.18154
17081,0.17375
17085,0.56516
17089,0.02937
17091,-0.30355
17093,-0.10146
17095,-0.23356
17097,-0.42702
17099,0.10505
17103,0.18621
17105,0.39199
17107,-0.01856
17109,-0.32548
17111,0.31251
17113,0.16133
17115,-0.49539
17117,-0.00583
17119,-0.2636
17121,0.27664
17127,-0.61166
17133,0.45785
17135,0.53605
17137,0.18834
17141,0.02929
17143,-0.1571
17145,0.08397
17147,0.04322
17161,-0.15869
17163,-0.84999
17165,0.47008
17167,-0.25377
17173,0.01546
17177,-0.20974
17179,0.08574
17183,-0.67586
17187,-0.06395
17195,-0.08438
17197,-0.75859
17199,0.05967
17201,-0.09585
17203,0.61614
18001,-0.07503
18003,-0.01042
18005,0.06809
18011,0.44354
18013,0.3364
18015,0.40179
18017,0.01251
18019,-0.38283
18023,0.28418
18027,0.06392
18029,-0.40473
18031,0.55506
18033,0.32575
18035,0.09056
18037,0.51505
18039,0.18867
18041,0.39192
18043,-0.04088
18045,-0.09504
18049,-0.40615
18051,0.12648
18053,0.17853
18055,-0.35513
18057,0.32743
18059,0.3356
18061,0.15362
18063,0.30978
18065,0.10179
18067,-0.2172
18069,0.63262
18071,0.48632
18073,0.00886
18075,-0.05453
18077,0.52763
18079,0.32915
18081,0.27237
18083,-0.17289
18085,0.76846
18087,0.21056
18089,-0.92319
18091,-0.5358
18093,0.05923
18095,0.39549
18097,-0.25065
18099,0.46869
18103,-0.30152
18105,0.14058
18107,0.24302
18109,-0.54744
18113,-0.14923
18117,0.04476
18127,0.0952
18133,0.39322
18135,0.20258
18137,-0.43078
18139,-0.46724
18141,-0.02034
18143,0.47103
18145,-0.05789
18153,-0.10254
18157,0.3172
18163,0.00346
