county1,countyname1,mi_to_county,county2,countyname2
1001,Autauga County,22.4629943,1021,Chilton County
1003,Baldwin County,24.41967079,12033,Escambia County
1005,Barbour County,23.25404022,13239,Quitman County
1005,Barbour County,24.265804,1011,Bullock County
1009,Blount County,20.318,1043,Cullman County
1009,Blount County,23.2889475,1115,St. Clair County
1011,Bullock County,19.76150075,1087,Macon County
1011,Bullock County,24.265804,1005,Barbour County
1011,Bullock County,24.73802378,1109,Pike County
1013,Butler County,21.3542073,1041,Crenshaw County
1015,Calhoun County,18.90851784,1029,Cleburne County
1015,Calhoun County,22.60806585,1055,Etowah County
1015,Calhoun County,22.72611553,1019,Cherokee County
1017,Chambers County,21.80358161,1081,Lee County
1017,Chambers County,22.55284237,13285,Troup County
1017,Chambers County,23.95503529,1123,Tallapoosa County
1019,Cherokee County,21.81438945,1055,Etowah County
1019,Cherokee County,22.72611553,1015,Calhoun County
1021,Chilton County,22.4629943,1001,Autauga County
1027,Clay County,19.42433196,1121,Talladega County
1027,Clay County,23.07287297,1111,Randolph County
1029,Cleburne County,18.90851784,1015,Calhoun County
1029,Cleburne County,19.02127303,13143,Haralson County
1031,Coffee County,22.47649204,1045,Dale County
1031,Coffee County,23.61159232,1061,Geneva County
1033,Colbert County,16.30197942,1077,Lauderdale County
1033,Colbert County,18.19467826,1059,Franklin County
1033,Colbert County,24.79720781,28141,Tishomingo County
1035,Conecuh County,23.60325676,1053,Escambia County
1037,Coosa County,23.82241793,1051,Elmore County
1041,Crenshaw County,21.3542073,1013,Butler County
1041,Crenshaw County,22.62254699,1109,Pike County
1043,Cullman County,20.318,1009,Blount County
1043,Cullman County,22.3250298,1103,Morgan County
1045,Dale County,22.47649204,1031,Coffee County
1045,Dale County,22.57636979,1067,Henry County
1047,Dallas County,23.55538562,1105,Perry County
1049,DeKalb County,23.1159228,1071,Jackson County
1051,Elmore County,23.82241793,1037,Coosa County
1053,Escambia County,23.60325676,1035,Conecuh County
1055,Etowah County,21.81438945,1019,Cherokee County
1055,Etowah County,22.60806585,1015,Calhoun County
1055,Etowah County,24.43565028,1095,Marshall County
1057,Fayette County,19.6342334,1075,Lamar County
1059,Franklin County,18.19467826,1033,Colbert County
1059,Franklin County,21.10457145,1093,Marion County
1061,Geneva County,15.53608004,12059,Holmes County
1061,Geneva County,23.61159232,1031,Coffee County
1063,Greene County,20.8012611,1065,Hale County
1063,Greene County,21.89185698,1119,Sumter County
1065,Hale County,20.69504368,1105,Perry County
1065,Hale County,20.8012611,1063,Greene County
1067,Henry County,16.20477471,13061,Clay County
1067,Henry County,22.57636979,1045,Dale County
1067,Henry County,23.73835977,13099,Early County
1071,Jackson County,23.1159228,1049,DeKalb County
1073,Jefferson County,23.69832609,1117,Shelby County
1075,Lamar County,19.6342334,1057,Fayette County
1075,Lamar County,23.90135329,28095,Monroe County
1077,Lauderdale County,16.30197942,1033,Colbert County
1081,Lee County,21.80358161,1017,Chambers County
1081,Lee County,23.77401872,1113,Russell County
1081,Lee County,24.84122056,1087,Macon County
1083,Limestone County,24.62430176,1089,Madison County
1087,Macon County,19.76150075,1011,Bullock County
1087,Macon County,24.84122056,1081,Lee County
1089,Madison County,24.62430176,1083,Limestone County
1093,Marion County,21.10457145,1059,Franklin County
1095,Marshall County,24.43565028,1055,Etowah County
1103,Morgan County,22.3250298,1043,Cullman County
1105,Perry County,20.69504368,1065,Hale County
1105,Perry County,23.55538562,1047,Dallas County
1107,Pickens County,23.16882605,28087,Lowndes County
1109,Pike County,22.62254699,1041,Crenshaw County
1109,Pike County,24.73802378,1011,Bullock County
1111,Randolph County,18.74317549,13149,Heard County
1111,Randolph County,23.07287297,1027,Clay County
1113,Russell County,23.63309583,13053,Chattahoochee County
1113,Russell County,23.73234273,13215,Muscogee County
1113,Russell County,23.77401872,1081,Lee County
1115,St. Clair County,23.2889475,1009,Blount County
1117,Shelby County,23.69832609,1073,Jefferson County
1119,Sumter County,21.89185698,1063,Greene County
1121,Talladega County,19.42433196,1027,Clay County
1123,Tallapoosa County,23.95503529,1017,Chambers County
5005,Baxter County,19.41728301,5089,Marion County
5007,Benton County,20.78247431,29119,McDonald County
5009,Boone County,22.46329331,5089,Marion County
5009,Boone County,23.95848831,29213,Taney County
5011,Bradley County,21.00542736,5013,Calhoun County
5013,Calhoun County,21.00542736,5011,Bradley County
5013,Calhoun County,21.09173456,5103,Ouachita County
5015,Carroll County,24.6663974,5087,Madison County
5017,Chicot County,20.38076556,28151,Washington County
5019,Clark County,22.43396594,5059,Hot Spring County
5021,Clay County,18.94266776,5055,Greene County
5021,Clay County,24.05159735,29023,Butler County
5021,Clay County,24.77020004,29069,Dunklin County
5023,Cleburne County,20.5871745,5137,Stone County
5027,Columbia County,22.30684698,5073,Lafayette County
5029,Conway County,22.17347958,5045,Faulkner County
5029,Conway County,23.31499887,5115,Pope County
5029,Conway County,23.99316256,5141,Van Buren County
5031,Craighead County,18.13496458,5111,Poinsett County
5031,Craighead County,20.47818767,5055,Greene County
5033,Crawford County,20.25910029,5047,Franklin County
5035,Crittenden County,23.78906847,47157,Shelby County
5037,Cross County,19.21006015,5123,St. Francis County
5037,Cross County,19.89467942,5111,Poinsett County
5041,Desha County,20.76345474,28011,Bolivar County
5045,Faulkner County,22.17347958,5029,Conway County
5047,Franklin County,20.25910029,5033,Crawford County
5047,Franklin County,22.14059918,5083,Logan County
5047,Franklin County,24.10798723,5071,Johnson County
5049,Fulton County,20.62000224,5065,Izard County
5049,Fulton County,24.22195736,5135,Sharp County
5051,Garland County,21.57320086,5059,Hot Spring County
5055,Greene County,18.94266776,5021,Clay County
5055,Greene County,20.47818767,5031,Craighead County
5057,Hempstead County,21.17326781,5099,Nevada County
5059,Hot Spring County,21.57320086,5051,Garland County
5059,Hot Spring County,22.43396594,5019,Clark County
5061,Howard County,15.68822558,5133,Sevier County
5061,Howard County,19.7029418,5109,Pike County
5063,Independence County,21.26283878,5067,Jackson County
5065,Izard County,20.62000224,5049,Fulton County
5065,Izard County,20.76245581,5137,Stone County
5067,Jackson County,21.26283878,5063,Independence County
5069,Jefferson County,24.97755101,5079,Lincoln County
5071,Johnson County,24.10798723,5047,Franklin County
5073,Lafayette County,17.33361593,5091,Miller County
5073,Lafayette County,22.30684698,5027,Columbia County
5075,Lawrence County,21.13439888,5121,Randolph County
5075,Lawrence County,22.58210649,5135,Sharp County
5077,Lee County,16.35104245,5123,St. Francis County
5077,Lee County,24.76552697,28143,Tunica County
5077,Lee County,24.76640004,5107,Phillips County
5079,Lincoln County,24.97755101,5069,Jefferson County
5081,Little River County,20.40496597,5133,Sevier County
5081,Little River County,20.72637128,48037,Bowie County
5083,Logan County,22.14059918,5047,Franklin County
5083,Logan County,23.33093226,5149,Yell County
5085,Lonoke County,19.77420889,5117,Prairie County
5085,Lonoke County,24.01000883,5119,Pulaski County
5087,Madison County,24.6663974,5015,Carroll County
5089,Marion County,19.41728301,5005,Baxter County
5089,Marion County,22.46329331,5009,Boone County
5089,Marion County,24.69330939,5129,Searcy County
5091,Miller County,17.33361593,5073,Lafayette County
5093,Mississippi County,23.79936702,47097,Lauderdale County
5093,Mississippi County,24.53361028,47167,Tipton County
5095,Monroe County,22.564424,5117,Prairie County
5099,Nevada County,21.17326781,5057,Hempstead County
5103,Ouachita County,21.09173456,5013,Calhoun County
5107,Phillips County,19.52878102,28027,Coahoma County
5107,Phillips County,24.76640004,5077,Lee County
5109,Pike County,19.7029418,5061,Howard County
5111,Poinsett County,18.13496458,5031,Craighead County
5111,Poinsett County,19.89467942,5037,Cross County
5115,Pope County,23.31499887,5029,Conway County
5117,Prairie County,19.77420889,5085,Lonoke County
5117,Prairie County,22.564424,5095,Monroe County
5119,Pulaski County,22.10131727,5125,Saline County
5119,Pulaski County,24.01000883,5085,Lonoke County
5121,Randolph County,21.13439888,5075,Lawrence County
5121,Randolph County,23.06630124,29181,Ripley County
5123,St. Francis County,16.35104245,5077,Lee County
5123,St. Francis County,19.21006015,5037,Cross County
5125,Saline County,22.10131727,5119,Pulaski County
5129,Searcy County,24.69330939,5089,Marion County
5129,Searcy County,24.80470017,5141,Van Buren County
5133,Sevier County,15.68822558,5061,Howard County
5133,Sevier County,20.40496597,5081,Little River County
5135,Sharp County,22.58210649,5075,Lawrence County
5135,Sharp County,24.22195736,5049,Fulton County
5137,Stone County,20.5871745,5023,Cleburne County
5137,Stone County,20.76245581,5065,Izard County
5141,Van Buren County,23.99316256,5029,Conway County
5141,Van Buren County,24.80470017,5129,Searcy County
5143,Washington County,24.76726872,40001,Adair County
5149,Yell County,23.33093226,5083,Logan County
